r (A),g(r)_weighted_Zn-Cl,g(r)_weighted_Zn-Zn,g(r)_weighted_Cl-Cl,S_i_Zn-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,2.25974,0
0.11066916515151515,0.0,0.0,0.0,1.0,2.25974,0
0.2213383303030303,0.0,0.0,0.0,1.0,2.25974,0
0.33200749545454544,0.0,0.0,0.0,1.0,2.25974,0
0.4426766606060606,0.0,0.0,0.0,1.0,2.25974,0
0.5533458257575757,0.0,0.0,0.0,1.0,2.25974,0
0.6640149909090909,0.0,0.0,0.0,1.0,2.25974,0
0.774684156060606,0.0,0.0,0.0,1.0,2.25974,0
0.8853533212121212,0.0,0.0,0.0,1.0,2.25974,0
0.9960224863636363,0.0,0.0,0.0,1.0,2.25974,0
1.1066916515151515,0.0,0.0,0.0,1.0,2.25974,0
1.2173608166666665,0.0,0.0,0.0,1.0,2.25974,0
1.3280299818181818,0.0,0.0,0.0,1.0,2.25974,0
1.438699146969697,0.0,0.0,0.0,1.0,2.25974,0
1.549368312121212,0.0,0.0,0.0,1.0,2.25974,0
1.660037477272727,0.0,0.0,0.0,1.0,2.25974,0
1.7707066424242424,0.0,0.0,0.0,1.0,2.25974,0
1.8813758075757576,0.0,0.0,0.0,1.0,2.25974,0
1.9920449727272727,0.0,0.0,0.0,1.0,2.25974,0
2.1027141378787877,0.3002635967972528,0.0,0.0,1.0,2.25974,0
2.213383303030303,2.1675475871120597,0.0,0.0,1.0,2.25974,0
2.324052468181818,2.7127932086371316,0.0,0.0,2.6127683739078768e-05,2.25974,0
2.434721633333333,1.2319948412916562,0.0,0.0,2.6127683739078768e-05,2.25974,0
2.5453907984848483,0.34992557656273576,0.0,0.0,2.6127683739078768e-05,2.25974,0
2.6560599636363635,0.09147835056337268,0.002081987514778379,0.0,2.6127683739078768e-05,2.25974,0
2.766729128787879,0.037054436270406346,0.006391008984908532,0.0,2.6127683739078768e-05,2.25974,0
