r (A),g(r)_weighted_Na-Cl,g(r)_weighted_K-Na,g(r)_weighted_Na-Na,g(r)_weighted_K-K,g(r)_weighted_K-Cl,S_i_Na-Cl,S_i_K-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
0.10020695638383839,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
0.20041391276767678,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
0.3006208691515152,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
0.40082782553535357,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
0.5010347819191919,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
0.6012417383030304,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
0.7014486946868688,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
0.8016556510707071,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
0.9018626074545455,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
1.0020695638383839,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
1.1022765202222222,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
1.2024834766060608,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
1.3026904329898992,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
1.4028973893737375,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
1.503104345757576,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
1.6033113021414143,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
1.7035182585252526,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
1.803725214909091,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
1.9039321712929294,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
2.0041391276767677,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
2.104346084060606,0.013998986106741624,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
2.2045530404444444,0.07569425759032243,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
2.304759996828283,0.2490811709499821,0.0,0.0,0.0,0.0,1.0,1.0,2.85049,0
